"","landmark_time","endpoint","model","model_type","vcov_multiplier","N","d_alpha","d_beta","d_alphabeta","rho_trial","residual_var","CI_lower_bs","CI_upper_bs","CI_lower_bs_residual_var","CI_upper_bs_residual_var","CI_lower_sandwich","CI_upper_sandwich","rho_se"
"1",30.4375,"CVMB_DTH","cox","base",0.1,5,1.54296706804275e-05,0.000158668330085209,4.19387770888447e-05,0.847602655332999,0.00053830084868095,0.27628380865633,1.03785955619138,0.000214010182539465,0.00113598981100995,0.0188893391849458,0.985968021228254,0.124605557252471
"2",30.4375,"CVMB_DTH","cox","base",1,5,NA,NA,NA,NA,6.34057214674998e-06,-0.160761034083457,Inf,-0.000980657594250007,0.00050251111636368,NA,NA,NA
"3",30.4375,"CVMB_DTH","cox","full",0.1,5,1.43419766955186e-05,0.000157606169408679,2.6700150289565e-05,0.561594172803442,0.000480538957296548,-1.28651765108292,Inf,0.000162583538201708,0.00115322501758608,-0.689018101970168,0.971391832794732,0.365242769817349
"4",30.4375,"CVMB_DTH","cox","full",1,5,NA,NA,NA,NA,-5.56523944911484e-05,-Inf,1.68771188159412,-0.0010206085843766,0.000379521485886089,NA,NA,NA
"5",30.4375,"CVMB_DTH","sl","full",0.1,5,7.283176491066e-06,0.000155534794920819,2.98647249350865e-05,0.887328276767563,0.000554511799886946,-2.82638508743159,1.00103798926317,0.000218913536862338,0.00129503142671638,-0.0667815052266384,0.993783858173026,0.113054859702613
"6",30.4375,"CVMB_DTH","sl","full",1,5,NA,NA,NA,NA,-5.18653021003106e-06,-0.117292007803519,2.57761474670903,-0.000886248075636385,0.000485528697653101,NA,NA,NA
"7",60.875,"CVMB_DTH","cox","base",0.1,5,2.80700952360388e-05,0.000157414910878255,5.12322823294452e-05,0.770723899985674,0.000394591873393677,-0.672736414243344,1.10667370472556,0.000111794136117645,0.000772778645519504,-0.824967891778223,0.996789219679336,0.320858156741819
"8",60.875,"CVMB_DTH","cox","base",1,5,NA,NA,NA,NA,-0.00013784465407316,-0.331144635779797,2.71321640289333,-0.00100867409847519,0.00030188686717374,NA,NA,NA
"9",60.875,"CVMB_DTH","cox","full",0.1,5,2.65315421788013e-05,0.000157958076762714,3.21404456146039e-05,0.496477678870278,0.00028422858750006,-2.56791182364782,1.10276135012038,3.24484992602018e-05,0.000616355496424777,-0.858030852834663,0.982847503653694,0.496773293732275
"10",60.875,"CVMB_DTH","cox","full",1,5,NA,NA,NA,NA,-0.000232860269203273,-0.724272511419373,0.487871769513514,-0.000982859449662621,0.000118871551906939,NA,NA,NA
"11",60.875,"CVMB_DTH","sl","full",0.1,5,1.88558770552133e-05,0.000158448302595779,4.67365237300844e-05,0.855045531924271,0.000391502797999175,-0.494730763407394,1.16387957987173,8.99368630789417e-05,0.000759103370981009,-0.89030429528043,0.99929158441851,0.261301116910968
"12",60.875,"CVMB_DTH","sl","full",1,5,NA,NA,NA,NA,-0.000129073975747952,-0.253821808107244,0.933349360143039,-0.00101197670072303,0.000280554480613318,NA,NA,NA
"13",91.3125,"CVMB_DTH","cox","base",0.1,5,2.27806680203458e-05,0.000197861252606409,6.71372551039127e-05,0.999999945996883,0.00039228565310607,0.0167101787449098,1.56012291465891,0.000100242894696424,0.000738383518307372,0.578614680208432,1.42138521178533,0.151771509906525
"14",91.3125,"CVMB_DTH","cox","base",1,5,NA,NA,NA,NA,-0.000138957546796601,-0.224215775593076,Inf,-0.000937237886431966,0.000259225084321584,NA,NA,NA
"15",91.3125,"CVMB_DTH","cox","full",0.1,5,2.05162286982572e-05,0.000196190101322339,5.84958052526799e-05,0.92201378094208,0.000306720977830823,-1.50977998855777,Inf,3.89801203009703e-05,0.000602900855226934,-0.916334791444803,0.999856254244346,0.171027734496973
"16",91.3125,"CVMB_DTH","cox","full",1,5,NA,NA,NA,NA,-0.00021295393587178,-0.401990376349634,1.50082366646664,-0.00103748498455807,0.000178543356693432,NA,NA,NA
"17",91.3125,"CVMB_DTH","sl","full",0.1,5,1.94234568679845e-05,0.000195168444893688,5.85546945286624e-05,0.951028771962219,0.00039359722571273,-0.765948172555483,1.82919763480168,0.000108790920718507,0.000768907205804246,-0.999652921325377,0.99999978129541,0.212390396303511
"18",91.3125,"CVMB_DTH","sl","full",1,5,NA,NA,NA,NA,-0.000147048253430768,-0.326469578441988,4.23492124920585,-0.000953764227542826,0.000286595644741627,NA,NA,NA
"19",121.75,"CVMB_DTH","cox","base",0.1,5,3.45151806024698e-05,0.00019502089448751,6.7593959957222e-05,0.823876742118336,0.000382200457797312,-0.889514825882772,1.13240469356853,8.84043637614715e-05,0.000751574765975118,-0.805874892839662,0.997997228604386,0.264242907737221
"20",121.75,"CVMB_DTH","cox","base",1,5,NA,NA,NA,NA,-0.000147984990079299,-0.400633136697375,1.77489293868306,-0.00106557000048963,0.00027918536929514,NA,NA,NA
"21",121.75,"CVMB_DTH","cox","full",0.1,5,3.81909810626659e-05,0.000199555609631401,5.89253850858521e-05,0.674978674314357,0.000315508711941374,-1.03378538955457,1.08427339875296,2.93459324929735e-05,0.000639798765860527,-0.84406571940234,0.993652250725144,0.402939153637408
"22",121.75,"CVMB_DTH","cox","full",1,5,NA,NA,NA,NA,-0.000178373692349614,-0.497103743122721,1.20487401637504,-0.000892987647531517,0.000206026222973933,NA,NA,NA
"23",121.75,"CVMB_DTH","sl","full",0.1,5,2.10675566678592e-05,0.000193899828817255,5.96505049069653e-05,0.9332936820141,0.000374989592798679,-0.439817217192511,1.41405538364753,7.81336146934719e-05,0.000779351918998579,-0.984858558680689,0.999981836397862,0.191428770826193
"24",121.75,"CVMB_DTH","sl","full",1,5,NA,NA,NA,NA,-0.000158805996032458,-0.358389192177902,0.568898005120355,-0.00108960350495028,0.000306860372887,NA,NA,NA
"25",152.1875,"CVMB_DTH","cox","base",0.1,5,8.14188594714186e-05,0.000197930205166962,2.35722298894677e-05,0.185687266615917,0.000405283576840014,-1.2784129398724,Inf,0.000100116407698963,0.000838503254728887,-0.897449041202922,0.950282501623571,0.572688307940145
"26",152.1875,"CVMB_DTH","cox","base",1,5,8.28498770622268e-06,2.34261768879884e-07,-1.39314577465244e-06,-0.999999813026836,-7.28754849137683e-05,-Inf,-0.566487256450051,-0.000860619085264041,0.000375816800537403,-1758.2520320413,1756.25203241524,632.914379952447
"27",152.1875,"CVMB_DTH","cox","full",0.1,5,9.62172510537681e-05,0.00019885913886493,1.46874858533711e-05,0.10618134241299,0.000369718986264371,-1.38078960263771,0.998693745563837,0.000105056983349382,0.000742068582446462,-0.907717416178708,0.93876809937084,0.577252898036743
"28",152.1875,"CVMB_DTH","cox","full",1,5,1.93845277416724e-05,8.75201423598846e-07,-4.11890303002361e-06,-0.999999879031035,-9.26920120704784e-05,NA,NA,-0.000747271881344125,0.000305474998995048,-503.934943139225,501.934943381163,181.143485357822
"29",152.1875,"CVMB_DTH","sl","full",0.1,5,6.62952134462614e-05,0.00019627013013414,9.29262987779926e-06,0.081464884831018,0.000398114097720668,-1.57856021027017,0.981359083201138,0.000108388172175941,0.000854052987982002,-0.917003830074655,0.939427526492123,0.590880647835558
"30",152.1875,"CVMB_DTH","sl","full",1,5,NA,NA,NA,NA,-9.0904953387375e-05,-2.69050808943282,-0.262849383739605,-0.000776759650978426,0.000374374777806362,NA,NA,NA
"31",182.625,"CVMB_DTH","cox","base",0.1,5,8.47708683705458e-05,0.000318776530539779,0.000101558227330449,0.617801027113306,0.000293457110700023,-0.708905946905617,Inf,7.38136252174562e-05,0.000810546899284087,-0.813448582854379,0.988582638105217,0.413910884260249
"32",182.625,"CVMB_DTH","cox","base",1,5,NA,NA,NA,NA,-0.000181753406064872,-1.34155263422691,Inf,-0.000774458531396976,0.000416659884651083,NA,NA,NA
"33",182.625,"CVMB_DTH","cox","full",0.1,5,7.6773008151321e-05,0.000316706264858044,8.87567438424339e-05,0.569205064007077,0.000278844131093025,-1.08248339866693,1.10637307146647,8.10821990595475e-05,0.000787865975556803,-0.832322471813073,0.986300657654266,0.44848667604056
"34",182.625,"CVMB_DTH","cox","full",1,5,NA,NA,NA,NA,-0.00020804647136453,-0.963120685994283,7.48150434699128,-0.000774115174938635,0.000351125972769784,NA,NA,NA
"35",182.625,"CVMB_DTH","sl","full",0.1,5,8.65816159817298e-05,0.000322077530525886,0.00010865883195553,0.650686767168678,0.000279205475569942,-0.719790052954422,Inf,5.75422358349686e-05,0.000765432059596923,-0.808216597909604,0.990545611656254,0.394246410115927
